ID	Number	Name	TeReo	Area_1	TeReo_1	Area_2	TeReo_2	Area_3	TeReo_3	Region	RegionID	GazetteerDistrict	Part	PartID	Island	IslandID	Iwi_1	IwiID_1	Iwi_2	IwiID_2	Iwi_3	IwiID_3	Iwi_4	IwiID_4	Iwi_Semi	IwiID_Semi	GooglePlaceIDSmall_1	GooglePlaceIDLarge_1	GooglePlaceIDSmall_2	GooglePlaceIDLarge_2	GooglePlaceName	Boundary	Map	MapID	MapAreaShape_1	MapAreaCoords_1	MapAreaShape_2	MapAreaCoords_2	Speaker_1	SpeakerID_1	SpeakerBrackets_1	SpeakerLocation_1	Speaker_2	SpeakerID_2	SpeakerLocation_2	Speaker_3	SpeakerID_3	Speaker_4	SpeakerID_4	FeaturedName_1	FeaturedName_2	FeaturedName_3	FeaturedName_4	FeaturedName_5	FeaturedName_6	FeaturedName_7	FeaturedName_8	Notes	Wikipedia_1	Wikipedia_2	Wikipedia_3	Length
zo_39	39	Waipukurau	Waipukurau		Waipukurau					Hawkes Bay	re_8	Hawke's Bay	Lower North Island	pa_1	North Island	is_1	Ngāti Kahungunu	iw_20									ChIJHxnPB78MQm0RgBWjQ2HvAAU	ChIJC2L9hK0SQm0Rv46ESVP7K5g			Waipukurau		Lower North Island	ma_1	poly	358,512,350,470,467,450,466,479,431,486,404,507			Ru Kotua	sp_100										Waipukurau									https://en.wikipedia.org/wiki/Waipukurau			164
zo_40	40	Hastings	Heretaunga	Hastings	Heretaunga					Hawkes Bay	re_8	Hawke's Bay	Lower North Island	pa_1	North Island	is_1	Ngāti Kahungunu	iw_20									ChIJ64pTakhRaG0RGJmiQ2HvAAU	ChIJI3vVpVHsaW0RS9wFBORdkd8			Hastings		Lower North Island	ma_1	poly	351,470,348,427,359,423,389,432,438,386,463,406,463,453			Te Matua-o-te-Rangi (Boy) Tomoana	sp_117		in Heretaunga																	https://en.wikipedia.org/wiki/Hastings,_New_Zealand			123
zo_41	41	Napier	Ahuriri	Napier	Ahuriri					Hawkes Bay	re_8	Hawke's Bay	Lower North Island	pa_1	North Island	is_1	Ngāti Kahungunu	iw_20									ChIJmcqxT9bJaW0RUOiiQ2HvAAU	ChIJY-z07IEIaW0RqmyGD3ANN3o			Napier		Lower North Island	ma_1	poly	348,427,359,423,389,432,438,386,436,314,416,304,376,328,360,325,344,374			Te Otane Reti	sp_119			Te Matua-o-te-Rangi (Boy) Tomoana	sp_117		Wi Huata	sp_135												https://en.wikipedia.org/wiki/Napier,_New_Zealand			218
zo_42	42	Wairoa	Wairoa		Wairoa					Hawkes Bay	re_8	Hawke's Bay	Lower North Island	pa_1	North Island	is_1	Ngāti Kahungunu	iw_20									ChIJSwe1Oq-xaG0R4BWjQ2HvAAU	ChIJozOWtqG4aG0R_UUqDzC0vqk			Wairoa		Lower North Island	ma_1	poly	436,314,416,304,376,328,360,325,386,283,424,282,437,253,512,242,511,257,497,286			Lena Manuel	sp_57			Te Otane Reti	sp_119		Wi Huata	sp_135												https://en.wikipedia.org/wiki/Wairoa			190
zo_43	43	Māhia	Māhia		Māhia					Hawkes Bay	re_8	Hawke's Bay	Lower North Island	pa_1	North Island	is_1	Ngāti Kahungunu	iw_20	Rongomaiwahine	iw_75							ChIJbVhMMQ9qZm0RENyiQ2HvAAU				Mahia		Lower North Island	ma_1	poly	497,287,501,286,512,257,538,286,525,317			John Tangiora	sp_49																			https://en.wikipedia.org/wiki/Mahia_Peninsula			106
zo_44	44	Young Nick's Head	Te Kuri o Pāoa	Young Nick's Head	Te Kuri o Pāoa					East Coast	re_9	Gisborne	Lower North Island	pa_1	North Island	is_1	Rongowhakāta	iw_76													Young Nick's Head		Lower North Island	ma_1	poly	448,252,484,201,498,219,513,227,510,242			Te Ohomauri (Jos) Stewart	sp_118																			https://en.wikipedia.org/wiki/Young_Nick's_Head			118
zo_45	45	Te Karaka	Te Karaka		Te Karaka					East Coast	re_9	Gisborne	Lower North Island	pa_1	North Island	is_1	Te Aitanga ā Māhaki	iw_83									ChIJAQIqSEfvZW0RYAujQ2HvAAU				Te Karaka		Lower North Island	ma_1	poly	464,230,437,216,413,221,400,193,431,168,451,135,472,146,481,168,506,170,450,310			Tokorua Te Kani	sp_121										Te Karaka									https://en.wikipedia.org/wiki/Te_Karaka			144
zo_46	46	Gisborne	Tūranga-nui-a-Kiwa	Gisborne	Tūranga-nui-a-Kiwa					East Coast	re_9	Gisborne	Lower North Island	pa_1	North Island	is_1	Ngāti Kanohi	iw_21									ChIJl6ywQZzAZW0RB5miQ2HvAAU				Gisborne		Lower North Island	ma_1	poly	485,199,506,181,511,226			Tokorua Te Kani	sp_121																			https://en.wikipedia.org/wiki/Gisborne,_New_Zealand			69
zo_47	47	Kaiti/Whangara	Kaiti/Whangara		Kaiti		Whangara			East Coast	re_9	Gisborne	Lower North Island	pa_1	North Island	is_1	Ngāti Porou	iw_37													Kaiti		Lower North Island	ma_1	poly	507,171,546,158,522,217,503,210			Tokorua Te Kani	sp_121																			https://en.wikipedia.org/wiki/Kaiti,_New_Zealand	https://en.wikipedia.org/wiki/Whangara		111
zo_48	48	Tolaga Bay	Te Uawa o Ruamatua	Tolaga Bay	Te Uawa o Ruamatua					East Coast	re_9	Gisborne	Lower North Island	pa_1	North Island	is_1	Ngāti Porou	iw_37									ChIJl69hhXM3ZG0RkA-jQ2HvAAU	ChIJVzpCYT-1ZW0RcaAhk7LAaeo			Tolaga Bay		Lower North Island	ma_1	poly	507,171,538,161,532,127,473,147,482,169,497,167			Apirana Tuahae Mahuika	sp_2																			https://en.wikipedia.org/wiki/Tolaga_Bay			120
zo_49	49	Tokomaru Bay		Tokomaru Bay						East Coast	re_9	Gisborne	Lower North Island	pa_1	North Island	is_1	Ngāti Porou	iw_37									ChIJ0SF4gHuyZW0RYA-jQ2HvAAU	ChIJzR9rb5utZW0R4HV99rCGzL4			Tokomaru Bay		Lower North Island	ma_1	poly	532,127,473,147,450,132,459,96,482,100,529,77			Apirana Tuahae Mahuika	sp_2																			https://en.wikipedia.org/wiki/Tokomaru_Bay			157
zo_50	50	East Cape		East Cape						East Coast	re_9	Gisborne	Lower North Island	pa_1	North Island	is_1	Ngāti Porou	iw_37									ChIJYVcnAcaUZG0RwOuiQ2HvAAU				East Cape		Lower North Island	ma_1	poly	459,96,482,100,529,77,525,9,452,31,471,52,469,74			Apirana Tuahae Mahuika	sp_2																			https://en.wikipedia.org/wiki/East_Cape			314
zo_51	51	Te Kaha/Cape Runaway			Te Kaha	Cape Runaway				Eastern Bay of Plenty	re_10	Gisborne	Upper North Island	pa_2	North Island	is_1	Te Whānau ā Apanui	iw_89									ChIJr1r5xsJtZW0RUAujQ2HvAAU		ChIJDQ7O2BsjZW0RsOmiQ2HvAAU		Te Kaha		Lower North Island	ma_1	poly	400,115,448,134,476,57,432,14			Hemi Waenga	sp_24																			https://en.wikipedia.org/wiki/Te_Kaha	https://en.wikipedia.org/wiki/Cape_Runaway		240
zo_52	52	Tōrere	Tōrere		Tōrere					Eastern Bay of Plenty	re_10	Gisborne	Upper North Island	pa_2	North Island	is_1	Ngai Tai	iw_68									ChIJY5m8m4t_b20RABCjQ2HvAAU				Torere		Lower North Island	ma_1	poly	449,132,436,158,367,103			Wiremu Kere Kere	sp_136																			https://en.wikipedia.org/wiki/Torere_River			52
zo_53	53	Ōpōtiki	Ōpōtiki		Ōpōtiki					Eastern Bay of Plenty	re_10	Gisborne	Upper North Island	pa_2	North Island	is_1	Whakatōhea	iw_92									ChIJL1sjwJOBZW0RCZmiQ2HvAAU	ChIJL1sjwJOBZW0RoKyiQ2HvAAQ			Opotiki		Lower North Island	ma_1	poly	436,158,367,103,352,50,352,118,400,193			Tairongo Amoamo	sp_105			Hemi Waenga	sp_24															https://en.wikipedia.org/wiki/Opotiki			148
zo_54	54	Waimana	Waimana		Waimana					Eastern Bay of Plenty	re_10	Gisborne	Upper North Island	pa_2	North Island	is_1	Ngai Tūhoe	iw_67									ChIJeXfB-QkQb20RsBOjQ2HvAAU	ChIJ2b_7cMgWb20Rbwb7KypsW4M			Waimana		Lower North Island	ma_1	poly	362,168,378,158,411,220,393,232,386,228			Rex Hiakita	sp_97																			https://en.wikipedia.org/wiki/Waimana_River			90
zo_55	55	Ruātoki	Ruātoki		Ruātoki					Eastern Bay of Plenty	re_10	Gisborne	Upper North Island	pa_2	North Island	is_1	Ngai Tūhoe	iw_67									ChIJNVRAQLAbb20REOmiQ2HvAAU				Ruatoki		Lower North Island	ma_1	poly	363,168,350,166,342,193,355,225,381,215			John Rangihau	sp_48			Tawhao Tioke	sp_110						Ruātoki									https://en.wikipedia.org/wiki/Ruatoki			115
zo_56	56	Ruatāhuna	Ruatāhuna		Ruatāhuna					Eastern Bay of Plenty	re_10	Gisborne	Upper North Island	pa_2	North Island	is_1	Ngai Tūhoe	iw_67									ChIJBwcU7ekqb20RAOmiQ2HvAAU				Ruatahuna		Lower North Island	ma_1	poly	355,225,381,215,411,220,436,217,462,232,449,253,432,258,404,251,383,263,384,284,376,298,367,279,368,257			John Rangihau	sp_48										Ruatāhuna									https://en.wikipedia.org/wiki/Ruatahuna			131
zo_57	57	Waikaremoana	Waikaremoana		Waikaremoana					Eastern Bay of Plenty	re_10	Gisborne	Upper North Island	pa_2	North Island	is_1	Ngai Tūhoe	iw_67													Waikaremoana		Lower North Island	ma_1	circle	405,270,30			John Rangihau	sp_48																			https://en.wikipedia.org/wiki/Lake_Waikaremoana			124
zo_58	58	Murupara	Murupara		Murupara					Eastern Bay of Plenty	re_10	Gisborne	Upper North Island	pa_2	North Island	is_1	Ngāti Manawa	iw_31	Ngāti Whare	iw_65							ChIJs5TOqZvPbm0RAOiiQ2HvAAU	ChIJ_3W4DZHVbm0RWd2l3ymUHvE			Murupara		Lower North Island	ma_1	poly	359,329,313,311,325,273,326,209,331,197,345,191,370,258,379,297			John Henry Bird, QSO	sp_47		in Apa-hapai-taketake	Hirini Moko Mead	sp_30														About 30 seconds into this track, at Kiorenui, a fly goes around the microphones. People listening on headphones often try to swat it away.	https://en.wikipedia.org/wiki/Murupara			137
zo_59	59	Edgecumbe/Whakatāne		Edgecumbe			Whakatāne			Eastern Bay of Plenty	re_10	Gisborne	Upper North Island	pa_2	North Island	is_1	Ngāti Awa	iw_12									ChIJNV6it6T4bm0RAMGiQ2HvAAU		ChIJdwngI04Ab20RYBqjQ2HvAAU	ChIJ1fHLiXv7bm0R5tK9bqIi7ic	Whakatane District		Lower North Island	ma_1	poly	352,50,352,118,375,159,311,216,315,149			Euera Manuera	sp_13			Hirini Moko Mead	sp_30						Kawerau	Ohope	Whakatāne							https://en.wikipedia.org/wiki/Edgecumbe	https://en.wikipedia.org/wiki/Whakatane		185
zo_60	60	Matatā	Matatā		Matatā					Western Bay of Plenty	re_11	South Auckland	Upper North Island	pa_2	North Island	is_1	Ngāti Rangitihi	iw_41									ChIJhRqJ_ARfbm0REOKiQ2HvAAU				Matata		Central North Island	ma_2	poly	625,346,655,359,632,425,620,396,620,373			Rawakata Perenara	sp_96																			https://en.wikipedia.org/wiki/Matata			44
zo_61	61	Waitahanui	Waitahanui		Waitahanui					Western Bay of Plenty	re_11	South Auckland	Upper North Island	pa_2	North Island	is_1	Ngāti Pikiao	iw_36									ChIJB1q4ksbva20R8BWjQ2HvAAU				Waitahanui		Central North Island	ma_2	poly	625,346,620,373,579,357,593,333			Koro Tawa	sp_55																			https://en.wikipedia.org/wiki/Waitahanui_River			40
zo_62	62	Rotoiti North	Rotoiti ki te Raki	Rotoiti North	Rotoiti ki te Raki					Western Bay of Plenty	re_11	South Auckland	Upper North Island	pa_2	North Island	is_1	Ngāti Pikiao	iw_36													Rotoiti		Central North Island	ma_2	poly	551,392,568,374,584,361,620,373,624,407,596,414,592,406,585,402,585,392	poly	96,257,195,259,195,285,138,280,131,299,110,310,86,286	Te Mata Morehu	sp_116																			https://en.wikipedia.org/wiki/Lake_Rotoiti_(Bay_of_Plenty)			75
zo_63	63	Rotoiti South/Ōkataina	Rotoiti ki te Tonga/Ōkataina	Rotoiti South	Rotoiti ki te Tonga		Ōkataina			Western Bay of Plenty	re_11	South Auckland	Upper North Island	pa_2	North Island	is_1	Ngāti Pikiao	iw_36	Ngāti Tarāwhai	iw_54											Rotoiti		Central North Island	ma_2	circle	589,410,7	poly	195,285,195,311,183,325,163,362,129,358,137,323,131,299,138,280	Joe Malcolm	sp_45		in Tarawhai	Hiko Hohepa	sp_28															https://en.wikipedia.org/wiki/Lake_Rotoiti_(Bay_of_Plenty)	https://en.wikipedia.org/wiki/Lake_Okataina		122
zo_64	64	Tikitere/Te Ngae	Tikitere/Te Ngae		Tikitere		Te Ngae			Western Bay of Plenty	re_11	South Auckland	Upper North Island	pa_2	North Island	is_1	Ngāti Uenuku-Kopako	iw_59	Ngāti Rangi-te-Aorere	iw_38							ChIJ41_HWqaEbm0R0OaiQ2HvAAU				Tikitere		Central North Island	ma_2	circle	114,315,28			Tukutahi Galvin	sp_127																			https://en.wikipedia.org/wiki/Tikitere			45
zo_65	65	Tarawera	Tarawera		Tarawera					Western Bay of Plenty	re_11	South Auckland	Upper North Island	pa_2	North Island	is_1	Tūhourangi	iw_77									ChIJMdLp-ocWaW0RYCejQ2HvAAU				Tarawera		Central North Island	ma_2	poly	585,415,636,404,622,453,585,438	poly	195,311,195,406,135,408,32,424,49,398,53,407,73,407,85,398,89,390,84,382,103,365,110,343,131,332,129,358,163,362	Autiti Wikiriwhi	sp_4		in Wahiao																	https://en.wikipedia.org/wiki/Tarawera			59
zo_66	66	Reporoa	Reporoa		Reporoa					Western Bay of Plenty	re_11	South Auckland	Upper North Island	pa_2	North Island	is_1	Tūhourangi	iw_77	Ngāti Kea	iw_23							ChIJgS99OGmvbm0R8P6iQ2HvAAU	ChIJZ61Vh62sbm0RKQ-W7jsa0p0			Reporoa		Central North Island	ma_2	poly	622,453,585,438,585,454,533,454,488,485,595,538,632,455	poly	195,406,135,409,51,424,37,439,195,439	Kepa Tanirau	sp_54																			https://en.wikipedia.org/wiki/Reporoa_Caldera			78
