ID	Number	Name	WikiLink	Wikipedia	WikiData	WikiMi			2001	2006	2013						
iw_43	43	Ngāti Rangiwewehi	https://en.wikipedia.org/wiki/Ng%C4%81ti_Rangiwewehi	Ngāti Rangiwewehi	Q7023258	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Rangiwewehi	Q7023258	Ngāti Rangiwewehi (Te Arawa)	1551	2349	2835						
iw_44	44	Ngāti Rarua	https://en.wikipedia.org/wiki/Ng%C4%81ti_R%C4%81rua	Ngāti Rārua	Q7023267	https://mi.wikipedia.org/wiki/Ng%C4%81ti_R%C4%81rua	Q7023267	Ngāti Rārua	699	954	981						
iw_45	45	Ngāti Raukawa	https://en.wikipedia.org/wiki/Ng%C4%81ti_Raukawa	Ngāti Raukawa	Q1984427	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Raukawa	Q1984427	Ngāti Raukawa (Waikato)	5175	8166	10053		Q1984427	Ngāti Raukawa (Horowhenua/Manawatū)	11088	13233	15135
iw_46	46	Ngāti Rora			Q25659673	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Rora	Q25659673						Q24998502	Te Patukirikiri	60	63	45
iw_47	47	Ngāti Ruanui	https://en.wikipedia.org/wiki/Ng%C4%81ti_Ruanui	Ngāti Ruanui	Q7023270	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Ruanui	Q7023270	Ngāti Ruanui	5286	7035	7260						
iw_48	48	Ngāti Tū			Q25662132	https://mi.wikipedia.org/wiki/Ng%C4%81ti_T%C5%AB	Q25662132										
iw_49	49	Ngāti Tūwhao															
iw_50	50	Ngāti Tūwharetoa	https://en.wikipedia.org/wiki/Ng%C4%81ti_T%C5%ABwharetoa	Ngāti Tūwharetoa	Q7023290	https://mi.wikipedia.org/wiki/Ng%C4%81ti_T%C5%ABwharetoa	Q7023290	Ngāti Tūwharetoa	29301	34674	35877						
iw_51	51	Ngāti Tai	https://en.wikipedia.org/wiki/Ng%C4%81i_Tai_ki_T%C4%81maki	Ngāi Tai ki Tāmaki	Q28438435	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Tai	Q24998503	Ngāi Tai (Tauranga Moana/Mātaatua)	2022	2313	2301						
iw_52	52	Ngāti Tama	https://en.wikipedia.org/wiki/Ng%C4%81ti_Tama	Ngāti Tama	Q7023276	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Tama	Q7023276	Ngāti Tama (Te Waipounamu/South Island)	393	384	378						
iw_53	53	Ngāti Tamaterā	https://en.wikipedia.org/wiki/Ng%C4%81ti_Tamater%C4%81	Ngāti Tamaterā	Q7023279	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Tamater%C4%81	Q7023279	Ngāti Tamaterā	1866	2457	2577						
iw_54	54	Ngāti Tarāwhai	https://en.wikipedia.org/wiki/Ng%C4%81ti_Tar%C4%81whai	Ngāti Tarāwhai	Q7023277	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Tar%C4%81whai	Q7023277	Tarāwhai (Te Arawa)	114	243	282						
iw_55	55	Ngāti te Ata	https://en.wikipedia.org/wiki/Ng%C4%81ti_Te_Ata	Ngāti Te Ata	Q16978020	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Te_Ata	Q16978020						Q7023237	Ngāti Maru (Hauraki)	2604	3372	3765
iw_56	56	Ngāti Toa Rangatira	https://en.wikipedia.org/wiki/Ng%C4%81ti_Toarangatira	Ngāti Toarangatira	Q1984446	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Toa	Q1984446						Q7023275	Ngāti Tara Tokanui	330	492	540
