ZoneID	Zone	Number	IndexName_1	SpokenName_1	Speaker_1	SpeakerID_1	Start_1	End_1	Duration_1	IndexName_2	SpokenName_2	Speaker_2	SpeakerID_2	Start_2	End_2	IndexName_3	SpokenName_3	Speaker_3	SpeakerID_3	Start_3	End_3	CommonName	UnspokenName	ExtendedName	VariantName	MisspelledName	Note_speech	Note_place	SeeType	See	See Text	SeeZoneID_1	SeeZone_1	SeeName_1	SeeNotes_1	SeeZoneID_2	SeeZone_2	SeeName_2	SeeNotes_2	SeeZone_3	SeeName_3	SeeNotes_3	SeeZone_4	SeeName_4	SeeNotes_4	Kind_1	Super_1	Kind_2	Super_2	Kind_3	Super_3	Kind_4	Super_4	Kind_5	Super_5
4	Porirua Harbour	42	Toa Rangatira	Toa Rangatira	Tarawara Katene	108	114.9	116.38	1.48																																					meeting house	2								
4	Porirua Harbour	43	Tūī	Tūī	Tarawara Katene	108	117.8	118.81	1.01																																					park									
4	Porirua Harbour	44	Waihora	Waihora	Tarawara Katene	108	119.87	121.03	1.16																																					park									
4	Porirua Harbour	45	Waitangirua	Waitangirua	Tarawara Katene	108	122.1	123.5	1.40																																					suburb									
4	Porirua Harbour	46	Whenua Tapu	Whenua Tapu	Tarawara Katene	108	124.76	125.82	1.06																																					cemetery									
4	Porirua Harbour	47	Whitirēia	Whitirēia	Tarawara Katene	108	127.08	128.03	0.95																																					hill		point		[polytech]					
5	Kāpiti Coast	0	Intro	Zone 5: Kāpiti Coast	Hugh Young	38	2.21	3.91	1.70																																					intro									
5	Kāpiti Coast	1	Ao-rewa	Ao-rewa	Te Aputa ki Wairua Kauri	114	6.17	7.11	0.94																																					dining hall									
5	Kāpiti Coast	2	Hēmi Mātenga	Hēmi Mātenga	Te Aputa ki Wairua Kauri	114	8.92	10.18	1.26																																					park									
5	Kāpiti Coast	3	Horokiri	Horokiri	Te Aputa ki Wairua Kauri	114	12.13	13.14	1.01																																					valley									
5	Kāpiti Coast	4	Kāpiti	Kāpiti	Te Aputa ki Wairua Kauri	114	14.63	15.54	0.91	Te Waewae-kāpiti-ō-Tara-rāua-ko-Rangitāne	Te Waewae-kāpiti-ō-Tara-rāua-ko-Rangitāne	Te Aputa ki Wairua Kauri	114	16.65	21.64									Te Waewae-kāpiti-ō-Tara-rāua-ko-Rangitāne																						island									
5	Kāpiti Coast	5	Kapanui	Kapanui	Te Aputa ki Wairua Kauri	114	22.93	23.96	1.03																																					school									
